VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,cbd_congestion_fee
2,2025-01-01 06:24:54,2025-01-01 06:35:36,N,1.0,82,226,1.0,2.02,12.8,0.0,0.5,2.86,0.0,,1.0,17.16,1.0,1.0,0.0,0.0
2,2025-01-01 06:24:22,2025-01-01 06:44:27,N,5.0,80,244,3.0,13.31,90.0,0.0,0.0,0.0,6.94,,1.0,97.94,1.0,2.0,0.0,0.0
1,2025-01-01 06:16:26,2025-01-01 06:52:18,N,1.0,210,137,1.0,0.0,56.5,0.0,1.5,0.0,0.0,,1.0,58.0,1.0,1.0,0.0,0.0
2,2025-01-01 06:39:11,2025-01-01 07:01:54,N,1.0,82,258,1.0,4.57,25.4,0.0,0.5,1.0,0.0,,1.0,27.9,1.0,1.0,0.0,0.0
2,2025-01-01 06:07:10,2025-01-01 06:38:52,N,1.0,145,123,2.0,21.29,80.0,0.0,0.5,8.0,0.0,,1.0,89.5,1.0,1.0,0.0,0.0
2,2025-01-01 06:15:25,2025-01-01 06:44:25,N,5.0,7,22,1.0,11.61,75.0,0.0,0.0,0.0,0.0,,1.0,76.0,1.0,2.0,0.0,0.0
1,2025-01-01 06:15:37,2025-01-01 06:32:33,N,1.0,25,148,1.0,3.6,19.8,2.75,1.5,4.8,0.0,,1.0,28.85,1.0,1.0,2.75,0.0
2,2025-01-01 07:38:08,2025-01-01 07:39:57,N,5.0,160,160,1.0,0.0,20.0,0.0,0.0,0.0,0.0,,1.0,21.0,1.0,2.0,0.0,0.0
2,2025-01-01 07:45:56,2025-01-01 09:01:45,N,1.0,160,82,1.0,23.78,109.4,0.0,0.5,0.0,0.0,,1.0,110.9,2.0,1.0,0.0,0.0
2,2025-01-01 07:48:52,2025-01-01 08:02:03,N,1.0,92,171,1.0,1.75,13.5,0.0,0.5,0.0,0.0,,1.0,15.0,2.0,1.0,0.0,0.0
2,2025-01-01 07:43:41,2025-01-01 07:51:33,N,1.0,75,42,1.0,2.44,12.1,0.0,0.5,2.4,0.0,,1.0,16.0,1.0,1.0,0.0,0.0
2,2025-01-01 07:48:12,2025-01-01 08:06:33,N,1.0,130,138,1.0,10.04,39.4,5.0,0.5,0.0,0.0,,1.0,45.9,2.0,1.0,0.0,0.0
2,2025-01-01 07:44:33,2025-01-01 07:57:44,N,1.0,236,138,1.0,8.47,33.1,5.0,0.5,9.31,6.94,,1.0,55.85,1.0,1.0,0.0,0.0
1,2025-01-01 07:53:01,2025-01-01 08:01:33,N,1.0,75,24,1.0,1.7,10.0,0.0,1.5,0.0,0.0,,1.0,11.5,1.0,1.0,0.0,0.0
2,2025-01-01 07:27:13,2025-01-01 07:32:32,N,5.0,80,80,2.0,1.81,40.0,0.0,0.0,8.2,0.0,,1.0,49.2,1.0,2.0,0.0,0.0
2,2025-01-01 07:24:33,2025-01-01 07:52:52,N,1.0,129,63,1.0,10.62,45.7,0.0,0.5,0.0,0.0,,1.0,47.2,2.0,1.0,0.0,0.0
2,2025-01-01 07:10:46,2025-01-01 07:24:05,N,1.0,41,241,1.0,6.45,26.8,0.0,0.5,5.66,0.0,,1.0,33.96,1.0,1.0,0.0,0.0
2,2025-01-01 07:27:47,2025-01-01 07:37:24,N,1.0,74,140,1.0,3.64,17.7,0.0,0.5,4.39,0.0,,1.0,26.34,1.0,1.0,2.75,0.0
2,2025-01-01 08:48:27,2025-01-01 08:56:16,N,1.0,130,28,1.0,1.35,10.0,0.0,0.5,0.0,0.0,,1.0,11.5,1.0,1.0,0.0,0.0
2,2025-01-01 08:26:33,2025-01-01 08:33:56,N,1.0,74,75,1.0,1.78,10.7,0.0,0.5,2.0,0.0,,1.0,14.2,1.0,1.0,0.0,0.0
2,2024-12-25 23:13:15,2024-12-25 23:13:17,N,5.0,7,264,3.0,0.0,35.0,0.0,0.0,7.2,0.0,,1.0,43.2,1.0,2.0,0.0,0.0
2,2025-01-01 08:51:00,2025-01-01 09:03:19,N,1.0,74,151,1.0,2.19,14.2,0.0,0.5,3.14,0.0,,1.0,18.84,1.0,1.0,0.0,0.0
2,2025-01-01 08:25:02,2025-01-01 08:48:24,N,1.0,138,28,1.0,8.18,35.9,5.0,0.5,0.0,0.0,,1.0,43.65,2.0,1.0,0.0,0.0
2,2025-01-01 08:08:21,2025-01-01 08:11:37,N,1.0,75,263,1.0,1.31,7.2,0.0,0.5,2.29,0.0,,1.0,13.74,1.0,1.0,2.75,0.0
2,2025-01-01 08:16:39,2025-01-01 08:21:14,N,1.0,75,238,1.0,1.3,7.9,0.0,0.5,0.0,0.0,,1.0,9.4,2.0,1.0,0.0,0.0
2,2025-01-01 08:28:16,2025-01-01 08:34:04,N,1.0,236,140,1.0,1.5,9.3,0.0,0.5,0.0,0.0,,1.0,13.55,2.0,1.0,2.75,0.0
2,2025-01-01 08:18:53,2025-01-01 08:40:15,N,1.0,66,48,1.0,7.9,33.8,0.0,0.5,0.0,0.0,,1.0,38.05,1.0,1.0,2.75,0.0
2,2025-01-01 08:08:38,2025-01-01 08:08:42,N,5.0,92,92,1.0,0.07,10.0,0.0,0.0,0.08,0.0,,1.0,11.08,1.0,2.0,0.0,0.0
2,2025-01-01 08:13:30,2025-01-01 08:25:14,N,1.0,129,80,2.0,3.67,19.8,0.0,0.5,0.0,0.0,,1.0,21.3,2.0,1.0,0.0,0.0
2,2025-01-01 08:42:31,2025-01-01 09:00:51,N,5.0,65,68,1.0,5.13,40.0,0.0,0.0,20.0,0.0,,1.0,63.75,1.0,2.0,2.75,0.0
2,2025-01-01 08:11:44,2025-01-01 08:24:40,N,1.0,130,218,1.0,3.03,14.9,0.0,0.5,3.28,0.0,,1.0,19.68,1.0,1.0,0.0,0.0
1,2025-01-01 08:36:20,2025-01-01 08:49:26,N,1.0,124,215,1.0,0.0,25.5,0.0,1.5,0.0,0.0,,1.0,27.0,1.0,1.0,0.0,0.0
2,2025-01-01 08:58:15,2025-01-01 09:10:48,N,1.0,74,163,1.0,3.51,18.4,0.0,0.5,0.0,0.0,,1.0,22.65,2.0,1.0,2.75,0.0
2,2025-01-01 08:53:31,2025-01-01 09:05:00,N,1.0,130,121,1.0,2.11,13.5,0.0,0.5,3.0,0.0,,1.0,18.0,1.0,1.0,0.0,0.0
2,2025-01-01 08:31:00,2025-01-01 08:44:35,N,1.0,116,236,1.0,4.17,19.8,0.0,0.5,5.32,0.0,,1.0,26.62,1.0,1.0,0.0,0.0
2,2025-01-01 09:13:42,2025-01-01 10:36:42,N,5.0,131,121,1.0,26.78,30.0,0.0,0.0,0.0,0.0,,1.0,31.0,2.0,1.0,0.0,0.0
2,2025-01-01 09:55:25,2025-01-01 10:54:10,N,1.0,138,226,1.0,7.8,54.1,5.0,0.5,0.0,0.0,,1.0,61.85,2.0,1.0,0.0,0.0
2,2025-01-01 09:48:39,2025-01-01 10:19:10,N,4.0,130,265,1.0,18.93,80.7,0.0,0.5,0.0,0.0,,1.0,82.2,2.0,1.0,0.0,0.0
2,2025-01-01 09:51:24,2025-01-01 09:59:28,N,1.0,82,82,1.0,1.51,10.0,0.0,0.5,1.0,0.0,,1.0,12.5,1.0,1.0,0.0,0.0
2,2025-01-01 09:32:33,2025-01-01 09:41:43,N,1.0,74,166,1.0,2.04,12.1,0.0,0.5,2.72,0.0,,1.0,16.32,1.0,1.0,0.0,0.0
2,2025-01-01 06:26:30,2025-01-01 06:34:47,N,1.0,74,236,1.0,2.3,12.1,0.0,0.5,0.0,0.0,,1.0,16.35,2.0,1.0,2.75,0.0
2,2025-01-01 09:37:38,2025-01-01 09:41:39,N,1.0,263,141,1.0,1.44,7.9,0.0,0.5,2.43,0.0,,1.0,14.58,1.0,1.0,2.75,0.0
2,2025-01-01 09:53:47,2025-01-01 10:02:17,N,1.0,75,24,1.0,2.56,12.8,0.0,0.5,0.0,0.0,,1.0,14.3,1.0,1.0,0.0,0.0
1,2025-01-01 09:08:59,2025-01-01 09:12:44,N,1.0,42,42,1.0,0.7,5.8,0.0,1.5,0.0,0.0,,1.0,7.3,3.0,1.0,0.0,0.0
1,2025-01-01 09:34:09,2025-01-01 09:46:50,N,1.0,74,182,1.0,6.4,27.5,0.0,1.5,5.8,0.0,,1.0,34.8,1.0,1.0,0.0,0.0
