,VendorID,PUDatetime,DODatetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,taxi_type,ehail_fee,trip_type,hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag
29593,,2023-04-01 00:00:01,2023-04-01 00:18:48,,,,,256,225,,,,,,,,,0.0,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:55:21,2023-03-31 23:59:14,3.06,1127.0,16.27,0.0,0.49,1.44,0.0,0.0,19.88,N,N, ,N,N
28013,,2023-04-01 00:00:01,2023-04-01 00:21:39,,,,,243,168,,,,,,,,,0.0,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:55:01,2023-03-31 23:59:51,8.32,1298.0,23.17,0.0,0.7,2.06,0.0,0.0,27.72,N,N, ,N,N
17053,,2023-04-01 00:00:01,2023-04-01 00:11:28,,,,,112,256,,,,,,,,,0.0,,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:53:34,,2.086,687.0,13.4,0.0,0.4,1.19,0.0,0.0,9.18,N,N,N,N,N
37077,,2023-04-01 00:00:01,2023-04-01 00:10:13,,,,,102,258,,,,,,,,,0.0,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:55:43,2023-03-31 23:58:37,2.0,612.0,13.36,0.0,0.4,1.19,0.0,0.0,8.38,N,N, ,N,N
19145,,2023-04-01 00:00:01,2023-04-01 00:16:59,,,,,161,148,,,,,,,,,2.75,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:55:42,2023-03-31 23:59:09,2.78,1018.0,20.75,0.0,0.62,1.84,0.0,0.0,19.12,N,N, ,N,N
5598,,2023-04-01 00:00:02,2023-04-01 00:18:08,,,,,88,189,,,,,,,,,2.75,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:58:03,2023-03-31 23:58:20,4.84,1086.0,24.52,0.0,0.74,2.18,0.0,0.0,21.23,N,N, ,N,N
15815,,2023-04-01 00:00:02,2023-04-01 00:30:20,,,,,142,179,,,,,,,,,2.75,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:55:17,2023-03-31 23:59:54,5.48,1818.0,32.53,0.0,0.98,2.89,0.0,8.0,29.45,N,N, ,N,N
29062,,2023-04-01 00:00:02,2023-04-01 00:18:24,,,,,157,134,,,,,,,,,0.0,,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:56:52,,5.594,1102.0,17.62,0.0,0.53,1.56,0.0,0.0,17.69,N,N,N,N,N
36342,,2023-04-01 00:00:02,2023-04-01 00:12:55,,,,,148,37,,,,,,,,,2.75,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:50:45,2023-03-31 23:59:34,3.23,773.0,19.02,0.0,0.57,1.69,0.0,0.0,11.5,N,N, ,N,N
9340,,2023-04-01 00:00:02,2023-04-01 00:06:12,,,,,79,148,,,,,,,,,2.75,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:56:51,2023-04-01 00:00:02,0.77,370.0,8.21,0.0,0.25,0.73,0.0,0.0,12.63,N,N, ,N,N
32772,,2023-04-01 00:00:02,2023-04-01 00:17:46,,,,,101,219,,,,,,,,,0.0,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:55:03,2023-03-31 23:58:40,10.02,1064.0,29.03,0.0,0.86,2.58,0.0,3.0,23.92,N,N, ,N,N
8951,,2023-04-01 00:00:02,2023-04-01 00:20:48,,,,,255,261,,,,,,,,,2.75,,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:57:14,,6.168,1246.0,22.19,0.18,0.67,1.99,0.0,0.0,19.78,N,N,N,N,N
25583,,2023-04-01 00:00:02,2023-04-01 00:44:36,,,,,79,265,,,,,,,,,0.0,,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:53:12,,7.934,2674.0,52.72,20.12,2.04,0.0,0.0,0.0,35.47,N,N,N,N,N
3197624,2,2023-04-01 00:00:02,2023-04-01 00:18:48,,4.84,,,74,50,0,24.38,0.0,0.5,0.0,0.0,1.0,28.38,,,yellow_taxi,,,,,,,,,,,,,,,,,,,,,
2338,2,2023-04-01 00:00:02,2023-04-01 00:20:41,1,3.43,1,N,229,249,1,20.5,1.0,0.5,5.1,0.0,1.0,30.6,2.5,0.0,yellow_taxi,,,,,,,,,,,,,,,,,,,,,
1093,1,2023-04-01 00:00:02,2023-04-01 00:01:40,2,0.5,1,N,137,107,1,4.4,3.5,0.5,1.88,0.0,1.0,11.28,2.5,0.0,yellow_taxi,,,,,,,,,,,,,,,,,,,,,
36327,,2023-04-01 00:00:02,2023-04-01 00:20:02,,,,,80,189,,,,,,,,,0.0,,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:55:01,,3.547,1200.0,32.72,0.0,0.98,2.9,0.0,0.0,19.64,N,N,N,N,N
3020,,2023-04-01 00:00:02,2023-04-01 00:03:52,,,,,65,33,,,,,,,,,0.0,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:54:40,2023-03-31 23:58:24,0.63,230.0,16.95,0.0,0.51,1.5,0.0,0.0,10.6,N,N, ,N,N
11825,,2023-04-01 00:00:03,2023-04-01 00:20:04,,,,,261,50,,,,,,,,,2.75,,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:56:32,,3.996,1201.0,28.81,0.0,0.86,2.56,0.0,0.0,16.52,N,N,N,N,N
25941,,2023-04-01 00:00:03,2023-04-01 00:12:23,,,,,113,164,,,,,,,,,2.75,,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:56:26,,2.098,740.0,28.38,0.0,0.85,2.52,0.0,0.0,17.3,N,N,N,N,N
