,VendorID,PUDatetime,DODatetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,type,airport_fee,Airport_fee
2851,2,2023-01-01 00:05:03,2023-01-01 00:27:54,N,1.0,48,161,1.0,3.29,21.9,1.0,0.5,0.0,0.0,,1.0,26.9,2.0,,2.5,yellow_taxi,0.0,
2823,2,2023-01-01 00:05:04,2023-01-01 00:23:47,N,1.0,249,164,1.0,1.34,17.0,1.0,0.5,2.0,0.0,,1.0,24.0,1.0,,2.5,yellow_taxi,0.0,
2939,2,2023-01-01 00:05:04,2023-01-01 00:19:30,N,1.0,74,144,1.0,7.32,29.6,1.0,0.5,6.92,0.0,,1.0,41.52,1.0,,2.5,yellow_taxi,0.0,
3718,1,2023-01-01 00:05:05,2023-01-01 00:08:25,N,1.0,249,90,1.0,0.7,5.8,3.5,0.5,2.15,0.0,,1.0,12.95,1.0,,2.5,yellow_taxi,0.0,
3798,1,2023-01-01 00:05:08,2023-01-01 00:08:29,N,1.0,246,68,1.0,0.5,5.1,3.5,0.5,3.0,0.0,,1.0,13.1,1.0,,2.5,yellow_taxi,0.0,
1376,2,2023-01-01 00:05:09,2023-01-01 00:11:20,N,1.0,263,229,2.0,1.91,10.0,1.0,0.5,4.5,0.0,,1.0,19.5,1.0,,2.5,yellow_taxi,0.0,
1326,1,2023-01-01 00:05:09,2023-01-01 00:11:13,N,1.0,211,234,1.0,1.3,7.9,3.5,0.5,2.55,0.0,,1.0,15.45,1.0,,2.5,yellow_taxi,0.0,
1403,2,2023-01-01 00:05:10,2023-01-01 00:16:02,N,1.0,43,162,4.0,1.43,11.4,1.0,0.5,3.28,0.0,,1.0,19.68,1.0,,2.5,yellow_taxi,0.0,
137,2,2023-01-01 00:05:11,2023-01-01 00:31:52,N,1.0,249,7,1.0,6.81,31.0,1.0,0.5,9.0,0.0,,1.0,45.0,1.0,,2.5,yellow_taxi,0.0,
2817,2,2023-01-01 00:05:11,2023-01-01 00:21:11,N,1.0,48,141,2.0,2.45,16.3,1.0,0.5,4.26,0.0,,1.0,25.56,1.0,,2.5,yellow_taxi,0.0,
3414,1,2023-01-01 00:05:11,2023-01-01 00:33:15,N,1.0,236,82,3.0,7.5,35.2,3.5,0.5,8.0,0.0,,1.0,48.2,1.0,,2.5,yellow_taxi,0.0,
3514,2,2023-01-01 00:05:12,2023-01-01 00:16:24,N,1.0,148,107,1.0,1.83,12.1,1.0,0.5,6.84,0.0,,1.0,23.94,1.0,,2.5,yellow_taxi,0.0,
4856,2,2023-01-01 00:05:12,2023-01-01 00:10:37,N,1.0,79,137,2.0,1.35,8.6,1.0,0.5,2.72,0.0,,1.0,16.32,1.0,,2.5,yellow_taxi,0.0,
4178,2,2023-01-01 00:05:13,2023-01-01 00:25:06,N,1.0,148,257,1.0,7.03,31.7,1.0,0.5,8.0,0.0,,1.0,44.7,1.0,,2.5,yellow_taxi,0.0,
711,1,2023-01-01 00:05:14,2023-01-01 00:08:27,N,1.0,263,263,1.0,0.5,5.1,3.5,0.5,3.0,0.0,,1.0,13.1,1.0,,2.5,yellow_taxi,0.0,
3846,2,2023-01-01 00:05:16,2023-01-01 00:22:21,N,1.0,114,79,1.0,1.87,16.3,1.0,0.5,4.26,0.0,,1.0,25.56,1.0,,2.5,yellow_taxi,0.0,
3237,2,2023-01-01 00:05:17,2023-01-01 00:20:36,N,1.0,170,163,1.0,0.92,14.2,1.0,0.5,2.0,0.0,,1.0,21.2,1.0,,2.5,yellow_taxi,0.0,
1171,1,2023-01-01 00:05:17,2023-01-01 00:27:47,N,1.0,137,130,1.0,13.2,50.6,3.5,0.5,0.0,6.55,,1.0,62.15,2.0,,2.5,yellow_taxi,0.0,
4832,2,2023-01-01 00:05:18,2023-01-01 00:21:56,N,1.0,39,133,2.0,9.75,38.7,1.0,0.5,0.0,0.0,,1.0,41.2,2.0,,0.0,yellow_taxi,0.0,
285,2,2023-01-01 00:05:18,2023-01-01 00:40:35,N,1.0,142,181,2.0,11.61,51.3,1.0,0.5,0.0,0.0,,1.0,56.3,2.0,,2.5,yellow_taxi,0.0,
2691,2,2023-01-01 00:05:19,2023-01-01 00:30:33,N,1.0,141,82,3.0,6.31,28.9,1.0,0.5,3.39,0.0,,1.0,37.29,1.0,,2.5,yellow_taxi,0.0,
594,2,2023-01-01 00:05:20,2023-01-01 00:12:09,N,1.0,142,151,1.0,2.03,10.7,1.0,0.5,4.71,0.0,,1.0,20.41,1.0,,2.5,yellow_taxi,0.0,
1045,1,2023-01-01 00:05:21,2023-01-01 00:52:00,N,1.0,143,188,1.0,10.0,44.3,3.5,0.5,9.85,0.0,,1.0,59.15,1.0,,2.5,yellow_taxi,0.0,
2340,1,2023-01-01 00:05:22,2023-01-01 00:07:23,N,1.0,87,209,0.0,0.3,4.4,3.5,0.5,0.0,0.0,,1.0,9.4,2.0,,2.5,yellow_taxi,0.0,
1816,2,2023-01-01 00:05:22,2023-01-01 00:10:15,N,1.0,249,144,1.0,0.97,7.2,1.0,0.5,2.44,0.0,,1.0,14.64,1.0,,2.5,yellow_taxi,0.0,
4737,1,2023-01-01 00:05:23,2023-01-01 00:10:10,N,1.0,234,113,2.0,0.9,7.2,3.5,0.5,2.4,0.0,,1.0,14.6,1.0,,2.5,yellow_taxi,0.0,
2745,1,2023-01-01 00:05:23,2023-01-01 00:26:28,N,1.0,249,141,2.0,4.2,23.3,3.5,0.5,5.66,0.0,,1.0,33.96,1.0,,2.5,yellow_taxi,0.0,
2052,2,2023-01-01 00:05:24,2023-01-01 00:33:50,N,1.0,162,3,1.0,14.44,56.2,1.0,0.5,0.1,0.0,,1.0,61.3,1.0,,2.5,yellow_taxi,0.0,
3034,2,2023-01-01 00:05:24,2023-01-01 00:10:36,N,1.0,114,90,1.0,1.23,7.9,1.0,0.5,0.0,0.0,,1.0,12.9,2.0,,2.5,yellow_taxi,0.0,
917,1,2023-01-01 00:05:27,2023-01-01 00:09:40,N,1.0,162,141,2.0,1.2,7.9,3.5,0.5,2.55,0.0,,1.0,15.45,1.0,,2.5,yellow_taxi,0.0,
362,2,2023-01-01 00:05:28,2023-01-01 00:23:33,N,1.0,239,236,2.0,2.79,18.4,1.0,0.5,40.0,0.0,,1.0,63.4,1.0,,2.5,yellow_taxi,0.0,
3679,2,2023-01-01 00:05:29,2023-01-01 00:12:28,N,1.0,148,79,2.0,1.04,8.6,1.0,0.5,2.72,0.0,,1.0,16.32,1.0,,2.5,yellow_taxi,0.0,
2598,2,2023-01-01 00:05:29,2023-01-01 00:24:42,N,1.0,114,237,1.0,3.88,20.5,1.0,0.5,5.0,0.0,,1.0,30.5,1.0,,2.5,yellow_taxi,0.0,
1624,2,2023-01-01 00:05:29,2023-01-01 00:13:21,N,1.0,161,229,2.0,1.07,8.6,1.0,0.5,2.72,0.0,,1.0,16.32,1.0,,2.5,yellow_taxi,0.0,
2916,2,2023-01-01 00:05:30,2023-01-01 00:31:11,N,1.0,264,264,1.0,6.64,31.7,1.0,0.5,0.0,0.0,,1.0,36.7,4.0,,2.5,yellow_taxi,0.0,
2915,2,2023-01-01 00:05:30,2023-01-01 00:31:11,N,1.0,264,264,1.0,6.64,-31.7,-1.0,-0.5,0.0,0.0,,-1.0,-36.7,4.0,,-2.5,yellow_taxi,0.0,
1172,1,2023-01-01 00:05:31,2023-01-01 00:37:56,N,1.0,68,7,1.0,6.3,33.8,3.5,0.5,7.75,0.0,,1.0,46.55,1.0,,2.5,yellow_taxi,0.0,
1194,1,2023-01-01 00:05:32,2023-01-01 00:13:27,N,1.0,114,90,1.0,1.3,9.3,3.5,0.5,2.85,0.0,,1.0,17.15,1.0,,2.5,yellow_taxi,0.0,
631,2,2023-01-01 00:05:32,2023-01-01 00:21:24,N,1.0,142,263,2.0,2.81,17.0,1.0,0.5,4.4,0.0,,1.0,26.4,1.0,,2.5,yellow_taxi,0.0,
4739,1,2023-01-01 00:05:35,2023-01-01 00:41:56,N,1.0,186,140,1.0,4.1,32.4,3.5,0.5,5.61,0.0,,1.0,43.01,1.0,,2.5,yellow_taxi,0.0,
794,2,2023-01-01 00:05:35,2023-01-01 00:18:34,N,1.0,132,95,1.0,7.71,31.0,1.0,0.5,6.7,0.0,,1.0,41.45,1.0,,0.0,yellow_taxi,1.25,
2473,2,2023-01-01 00:05:36,2023-01-01 00:30:33,N,1.0,231,229,1.0,4.55,24.7,1.0,0.5,7.42,0.0,,1.0,37.12,1.0,,2.5,yellow_taxi,0.0,
2042,1,2023-01-01 00:05:37,2023-01-01 00:14:56,N,1.0,107,68,1.0,1.2,8.6,3.5,0.5,2.7,0.0,,1.0,16.3,1.0,,2.5,yellow_taxi,0.0,
2271,2,2023-01-01 00:05:37,2023-01-01 00:37:15,N,1.0,114,239,2.0,4.35,30.3,1.0,0.5,7.06,0.0,,1.0,42.36,1.0,,2.5,yellow_taxi,0.0,
4503,2,2023-01-01 00:05:38,2023-01-01 00:06:35,N,1.0,50,50,2.0,0.19,3.7,1.0,0.5,0.0,0.0,,1.0,8.7,2.0,,2.5,yellow_taxi,0.0,
2737,2,2023-01-01 00:05:41,2023-01-01 00:34:36,N,1.0,132,33,4.0,22.72,82.8,1.0,0.5,10.0,0.0,,1.0,96.55,1.0,,0.0,yellow_taxi,1.25,
2050,2,2023-01-01 00:05:41,2023-01-01 00:21:21,N,1.0,239,50,1.0,1.79,15.6,1.0,0.5,4.12,0.0,,1.0,24.72,1.0,,2.5,yellow_taxi,0.0,
668,2,2023-01-01 00:05:41,2023-01-01 00:13:52,N,1.0,229,140,1.0,1.63,10.7,1.0,0.5,2.83,0.0,,1.0,18.53,1.0,,2.5,yellow_taxi,0.0,
3447,1,2023-01-01 00:05:43,2023-01-01 00:19:11,N,1.0,43,164,1.0,1.8,12.1,3.5,0.5,3.0,0.0,,1.0,20.1,1.0,,2.5,yellow_taxi,0.0,
304,2,2023-01-01 00:05:44,2023-01-01 00:16:55,N,1.0,142,239,2.0,1.27,11.4,1.0,0.5,4.92,0.0,,1.0,21.32,1.0,,2.5,yellow_taxi,0.0,
838,1,2023-01-01 00:05:44,2023-01-01 00:12:30,N,1.0,137,162,1.0,0.8,7.2,3.5,0.5,2.4,0.0,,1.0,14.6,1.0,,2.5,yellow_taxi,0.0,
920,2,2023-01-01 00:05:46,2023-01-01 00:11:13,N,1.0,164,162,2.0,0.82,7.2,1.0,0.5,0.0,0.0,,1.0,12.2,2.0,,2.5,yellow_taxi,0.0,
3605,2,2023-01-01 00:05:48,2023-01-01 00:18:14,N,1.0,79,262,2.0,3.98,17.7,1.0,0.5,4.54,0.0,,1.0,27.24,1.0,,2.5,yellow_taxi,0.0,
188,2,2023-01-01 00:05:48,2023-01-01 00:14:48,N,1.0,142,43,1.0,2.28,12.1,1.0,0.5,0.0,0.0,,1.0,17.1,2.0,,2.5,yellow_taxi,0.0,
2281,2,2023-01-01 00:05:49,2023-01-01 00:15:50,N,1.0,79,148,6.0,1.13,10.7,1.0,0.5,3.14,0.0,,1.0,18.84,1.0,,2.5,yellow_taxi,0.0,
656,1,2023-01-01 00:05:51,2023-01-01 00:26:34,N,1.0,264,264,4.0,3.9,20.5,1.0,0.5,0.0,0.0,,1.0,23.0,2.0,,0.0,yellow_taxi,0.0,
2672,2,2023-01-01 00:05:51,2023-01-01 00:27:07,N,1.0,144,141,2.0,3.61,21.2,1.0,0.5,0.0,0.0,,1.0,26.2,2.0,,2.5,yellow_taxi,0.0,
1630,2,2023-01-01 00:05:53,2023-01-01 00:15:11,N,1.0,148,13,2.0,3.98,18.4,1.0,0.5,5.0,0.0,,1.0,28.4,1.0,,2.5,yellow_taxi,0.0,
1578,2,2023-01-01 00:05:53,2023-01-01 00:31:44,N,1.0,48,144,1.0,4.4,26.1,1.0,0.5,0.0,0.0,,1.0,31.1,2.0,,2.5,yellow_taxi,0.0,
1263,2,2023-01-01 00:05:56,2023-01-01 00:10:37,N,1.0,164,164,1.0,0.34,5.8,1.0,0.5,2.16,0.0,,1.0,12.96,1.0,,2.5,yellow_taxi,0.0,
184,1,2023-01-01 00:05:56,2023-01-01 00:12:10,N,1.0,237,237,1.0,1.0,7.9,3.5,0.5,0.0,0.0,,1.0,12.9,2.0,,2.5,yellow_taxi,0.0,
3091,2,2023-01-01 00:05:58,2023-01-01 00:28:07,N,1.0,249,50,1.0,2.67,20.5,1.0,0.5,0.0,0.0,,1.0,25.5,1.0,,2.5,yellow_taxi,0.0,
3972,1,2023-01-01 00:05:59,2023-01-01 00:13:57,N,1.0,79,144,1.0,1.2,10.0,3.5,0.5,3.0,0.0,,1.0,18.0,1.0,,2.5,yellow_taxi,0.0,
1293,2,2023-01-01 00:06:01,2023-01-01 00:11:39,N,1.0,239,151,2.0,1.43,8.6,1.0,0.5,4.08,0.0,,1.0,17.68,1.0,,2.5,yellow_taxi,0.0,
1217,2,2023-01-01 00:06:02,2023-01-01 00:09:42,N,1.0,237,236,6.0,0.85,6.5,1.0,0.5,3.45,0.0,,1.0,14.95,1.0,,2.5,yellow_taxi,0.0,
1285,1,2023-01-01 00:06:02,2023-01-01 00:19:20,N,1.0,137,142,2.0,2.9,14.9,3.5,0.5,3.95,0.0,,1.0,23.85,1.0,,2.5,yellow_taxi,0.0,
4329,1,2023-01-01 00:06:02,2023-01-01 00:13:25,N,1.0,170,229,1.0,1.2,8.6,3.5,0.5,2.7,0.0,,1.0,16.3,1.0,,2.5,yellow_taxi,0.0,
808,2,2023-01-01 00:06:02,2023-01-01 00:31:38,N,1.0,43,161,1.0,2.5,24.0,1.0,0.5,7.25,0.0,,1.0,36.25,1.0,,2.5,yellow_taxi,0.0,
4386,1,2023-01-01 00:06:08,2023-01-01 00:17:23,N,1.0,107,211,1.0,2.3,12.8,3.5,0.5,2.0,0.0,,1.0,19.8,1.0,,2.5,yellow_taxi,0.0,
4853,2,2023-01-01 00:06:08,2023-01-01 00:28:01,N,1.0,79,33,1.0,4.37,24.0,1.0,0.5,7.25,0.0,,1.0,36.25,1.0,,2.5,yellow_taxi,0.0,
4584,1,2023-01-01 00:06:09,2023-01-01 00:21:31,N,1.0,233,239,1.0,3.7,17.7,3.5,0.5,3.0,0.0,,1.0,25.7,1.0,,2.5,yellow_taxi,0.0,
4280,2,2023-01-01 00:06:13,2023-01-01 00:19:42,N,1.0,186,79,2.0,2.28,14.9,1.0,0.5,3.98,0.0,,1.0,23.88,1.0,,2.5,yellow_taxi,0.0,
1897,2,2023-01-01 00:06:15,2023-01-01 00:19:53,N,1.0,234,68,5.0,1.27,13.5,1.0,0.5,3.7,0.0,,1.0,22.2,1.0,,2.5,yellow_taxi,0.0,
4641,2,2023-01-01 00:06:17,2023-01-01 00:27:48,N,1.0,163,50,1.0,2.36,19.8,1.0,0.5,4.96,0.0,,1.0,29.76,1.0,,2.5,yellow_taxi,0.0,
2995258,2,2023-01-01 00:06:17,2023-01-01 00:20:19,,,229,249,,3.25,21.54,0.0,0.5,5.11,0.0,,1.0,30.65,0.0,,,yellow_taxi,,
392,2,2023-01-01 00:06:18,2023-01-01 00:22:39,N,1.0,170,142,2.0,3.16,18.4,1.0,0.5,4.68,0.0,,1.0,28.08,1.0,,2.5,yellow_taxi,0.0,
4887,2,2023-01-01 00:06:20,2023-01-01 00:27:41,N,1.0,236,116,2.0,5.3,26.8,1.0,0.5,0.0,0.0,,1.0,31.8,2.0,,2.5,yellow_taxi,0.0,
3582,2,2023-01-01 00:06:22,2023-01-01 00:16:10,N,1.0,79,158,1.0,1.55,10.7,1.0,0.5,3.14,0.0,,1.0,18.84,1.0,,2.5,yellow_taxi,0.0,
2399,2,2023-01-01 00:06:23,2023-01-01 00:19:44,N,1.0,148,249,2.0,2.16,14.9,1.0,0.5,1.0,0.0,,1.0,20.9,1.0,,2.5,yellow_taxi,0.0,
3551,1,2023-01-01 00:06:25,2023-01-01 00:15:57,N,1.0,237,238,0.0,2.1,12.1,3.5,0.5,5.1,0.0,,1.0,22.2,1.0,,2.5,yellow_taxi,0.0,
1690,1,2023-01-01 00:06:26,2023-01-01 00:10:51,N,1.0,158,249,1.0,0.6,5.8,3.5,0.5,2.15,0.0,,1.0,12.95,1.0,,2.5,yellow_taxi,0.0,
1505,1,2023-01-01 00:06:29,2023-01-01 00:16:13,N,1.0,142,239,1.0,1.1,8.6,3.5,0.5,2.7,0.0,,1.0,16.3,1.0,,2.5,yellow_taxi,0.0,
2457,2,2023-01-01 00:06:30,2023-01-01 00:21:02,N,1.0,142,263,2.0,2.67,16.3,1.0,0.5,4.26,0.0,,1.0,25.56,1.0,,2.5,yellow_taxi,0.0,
1921,1,2023-01-01 00:06:30,2023-01-01 00:16:15,N,1.0,143,50,2.0,1.2,9.3,3.5,0.5,3.7,0.0,,1.0,18.0,1.0,,2.5,yellow_taxi,0.0,
911,2,2023-01-01 00:06:32,2023-01-01 00:19:28,N,1.0,186,170,1.0,1.39,12.1,1.0,0.5,3.42,0.0,,1.0,20.52,1.0,,2.5,yellow_taxi,0.0,
539,2,2023-01-01 00:06:32,2023-01-01 00:14:57,N,1.0,170,144,1.0,1.81,10.7,1.0,0.5,4.71,0.0,,1.0,20.41,1.0,,2.5,yellow_taxi,0.0,
295,2,2023-01-01 00:06:32,2023-01-01 00:29:45,N,1.0,132,80,1.0,15.49,58.3,1.0,0.5,12.16,0.0,,1.0,74.21,1.0,,0.0,yellow_taxi,1.25,
4126,2,2023-01-01 00:06:35,2023-01-01 00:12:16,N,1.0,229,170,2.0,1.06,7.9,1.0,0.5,0.0,0.0,,1.0,12.9,2.0,,2.5,yellow_taxi,0.0,
1406,1,2023-01-01 00:06:36,2023-01-01 00:15:40,N,1.0,232,231,1.0,1.3,9.3,3.5,0.5,2.85,0.0,,1.0,17.15,1.0,,2.5,yellow_taxi,0.0,
504,2,2023-01-01 00:06:37,2023-01-01 00:20:11,N,1.0,90,170,1.0,1.82,13.5,1.0,0.5,3.7,0.0,,1.0,22.2,1.0,,2.5,yellow_taxi,0.0,
3444,2,2023-01-01 00:06:39,2023-01-01 00:25:25,N,1.0,144,186,1.0,2.43,18.4,1.0,0.5,4.68,0.0,,1.0,28.08,1.0,,2.5,yellow_taxi,0.0,
2740,1,2023-01-01 00:06:39,2023-01-01 00:26:03,N,1.0,232,263,1.0,4.7,21.2,3.5,0.5,5.0,0.0,,1.0,31.2,1.0,,2.5,yellow_taxi,0.0,
4637,2,2023-01-01 00:06:39,2023-01-01 00:15:35,N,1.0,158,249,1.0,1.25,10.0,1.0,0.5,3.0,0.0,,1.0,18.0,1.0,,2.5,yellow_taxi,0.0,
621,2,2023-01-01 00:06:39,2023-01-01 00:10:02,N,1.0,237,237,1.0,0.52,5.1,1.0,0.5,0.0,0.0,,1.0,10.1,2.0,,2.5,yellow_taxi,0.0,
3851,2,2023-01-01 00:06:39,2023-01-01 00:08:58,N,1.0,162,170,1.0,0.53,4.4,1.0,0.5,0.0,0.0,,1.0,9.4,1.0,,2.5,yellow_taxi,0.0,
620,2,2023-01-01 00:06:39,2023-01-01 00:10:02,N,1.0,237,237,1.0,0.52,-5.1,-1.0,-0.5,0.0,0.0,,-1.0,-10.1,2.0,,-2.5,yellow_taxi,0.0,
837,2,2023-01-01 00:06:40,2023-01-01 00:25:09,Y,1.0,249,228,1.0,7.56,31.0,1.0,0.5,7.2,0.0,,1.0,43.2,1.0,,2.5,yellow_taxi,0.0,
3100,2,2023-01-01 00:06:41,2023-01-01 00:15:00,N,1.0,79,224,1.0,1.17,9.3,1.0,0.5,0.0,0.0,,1.0,14.3,2.0,,2.5,yellow_taxi,0.0,
382,2,2023-01-01 00:06:42,2023-01-01 00:17:13,N,1.0,164,229,1.0,1.88,12.1,1.0,0.5,3.42,0.0,,1.0,20.52,1.0,,2.5,yellow_taxi,0.0,
4098,1,2023-01-01 00:06:45,2023-01-01 00:31:44,N,1.0,48,224,4.0,3.3,20.5,3.5,0.5,6.35,0.0,,1.0,31.85,1.0,,2.5,yellow_taxi,0.0,
2358,2,2023-01-01 00:06:45,2023-01-01 00:17:41,N,1.0,142,162,2.0,2.01,12.8,1.0,0.5,3.2,0.0,,1.0,21.0,1.0,,2.5,yellow_taxi,0.0,
57,2,2023-01-01 00:06:48,2023-01-01 01:08:47,N,1.0,129,226,2.0,7.83,52.0,1.0,0.5,0.0,0.0,,1.0,54.5,2.0,1.0,0.0,green_taxi,,
2252,2,2023-01-01 00:06:48,2023-01-01 00:16:13,N,1.0,163,164,2.0,1.34,10.7,1.0,0.5,2.14,0.0,,1.0,17.84,1.0,,2.5,yellow_taxi,0.0,
1549,2,2023-01-01 00:06:50,2023-01-01 00:30:31,N,1.0,107,143,1.0,3.81,17.0,1.0,0.5,0.0,0.0,,1.0,22.0,2.0,,2.5,yellow_taxi,0.0,
4108,2,2023-01-01 00:06:54,2023-01-01 00:34:38,N,2.0,132,236,1.0,19.26,70.0,0.0,0.5,16.36,6.55,,1.0,98.16,1.0,,2.5,yellow_taxi,1.25,
2995,2,2023-01-01 00:06:56,2023-01-01 00:40:45,N,1.0,125,142,2.0,4.59,33.1,1.0,0.5,3.81,0.0,,1.0,41.91,1.0,,2.5,yellow_taxi,0.0,
2022,1,2023-01-01 00:06:56,2023-01-01 00:16:15,N,1.0,75,74,1.0,1.9,10.7,1.0,0.5,0.0,0.0,,1.0,13.2,2.0,,0.0,yellow_taxi,0.0,
2268,2,2023-01-01 00:06:58,2023-01-01 00:23:53,N,1.0,140,50,1.0,2.64,17.7,1.0,0.5,0.0,0.0,,1.0,22.7,2.0,,2.5,yellow_taxi,0.0,
1826,2,2023-01-01 00:06:59,2023-01-01 00:32:48,N,1.0,234,119,2.0,9.61,40.1,1.0,0.5,0.0,0.0,,1.0,45.1,2.0,,2.5,yellow_taxi,0.0,
1084,2,2023-01-01 00:07:00,2023-01-01 00:35:56,N,1.0,90,41,1.0,6.22,33.8,1.0,0.5,7.76,0.0,,1.0,46.56,1.0,,2.5,yellow_taxi,0.0,
4504,2,2023-01-01 00:07:01,2023-01-01 00:59:55,N,1.0,48,137,2.0,2.69,40.8,1.0,0.5,9.16,0.0,,1.0,54.96,1.0,,2.5,yellow_taxi,0.0,
4644,2,2023-01-01 00:07:02,2023-01-01 00:24:10,N,1.0,162,239,2.0,3.67,19.8,1.0,0.5,6.2,0.0,,1.0,31.0,1.0,,2.5,yellow_taxi,0.0,
4205,2,2023-01-01 00:07:02,2023-01-01 00:20:24,N,1.0,162,161,2.0,0.1,12.1,1.0,0.5,3.42,0.0,,1.0,20.52,1.0,,2.5,yellow_taxi,0.0,
4592,2,2023-01-01 00:07:05,2023-01-01 00:25:24,N,1.0,48,114,1.0,3.11,18.4,1.0,0.5,4.68,0.0,,1.0,28.08,1.0,,2.5,yellow_taxi,0.0,
232,2,2023-01-01 00:07:07,2023-01-01 00:17:02,N,1.0,211,88,2.0,2.77,14.2,1.0,0.5,3.0,0.0,,1.0,22.2,1.0,,2.5,yellow_taxi,0.0,
4229,1,2023-01-01 00:07:08,2023-01-01 00:20:41,Y,1.0,148,140,1.0,3.9,17.7,3.5,0.5,6.8,0.0,,1.0,29.5,1.0,,2.5,yellow_taxi,0.0,
1991,2,2023-01-01 00:07:09,2023-01-01 00:13:59,N,1.0,231,90,2.0,1.71,10.0,1.0,0.5,3.0,0.0,,1.0,18.0,1.0,,2.5,yellow_taxi,0.0,
2403,1,2023-01-01 00:07:10,2023-01-01 00:15:45,N,1.0,137,163,3.0,1.8,10.7,3.5,0.5,3.1,0.0,,1.0,18.8,1.0,,2.5,yellow_taxi,0.0,
1125,1,2023-01-01 00:07:11,2023-01-01 00:13:27,N,1.0,164,162,2.0,0.9,7.9,3.5,0.5,0.0,0.0,,1.0,12.9,1.0,,2.5,yellow_taxi,0.0,
301,2,2023-01-01 00:07:12,2023-01-01 00:09:35,N,1.0,263,141,1.0,0.52,5.1,1.0,0.5,0.0,0.0,,1.0,10.1,2.0,,2.5,yellow_taxi,0.0,
3596,2,2023-01-01 00:07:12,2023-01-01 00:10:12,N,1.0,249,68,1.0,0.66,5.8,1.0,0.5,0.0,0.0,,1.0,10.8,2.0,,2.5,yellow_taxi,0.0,
3594,1,2023-01-01 00:07:13,2023-01-01 00:26:55,N,1.0,249,255,1.0,4.4,22.6,3.5,0.5,2.0,0.0,,1.0,29.6,1.0,,2.5,yellow_taxi,0.0,
3709,1,2023-01-01 00:07:15,2023-01-01 00:28:47,N,1.0,114,263,1.0,5.1,25.4,3.5,0.5,9.1,0.0,,1.0,39.5,1.0,,2.5,yellow_taxi,0.0,
2374,2,2023-01-01 00:07:15,2023-01-01 00:16:21,N,1.0,141,4,1.0,3.16,14.9,1.0,0.5,0.0,0.0,,1.0,19.9,2.0,,2.5,yellow_taxi,0.0,
2726,2,2023-01-01 00:07:15,2023-01-01 00:13:13,N,1.0,107,79,2.0,1.26,8.6,1.0,0.5,2.72,0.0,,1.0,16.32,1.0,,2.5,yellow_taxi,0.0,
2909,1,2023-01-01 00:07:17,2023-01-01 00:16:43,N,1.0,249,107,3.0,1.2,10.0,3.5,0.5,3.0,0.0,,1.0,18.0,1.0,,2.5,yellow_taxi,0.0,
490,2,2023-01-01 00:07:18,2023-01-01 00:18:50,N,1.0,164,79,1.0,2.19,13.5,1.0,0.5,0.0,0.0,,1.0,18.5,2.0,,2.5,yellow_taxi,0.0,
428,2,2023-01-01 00:07:18,2023-01-01 00:23:15,N,1.0,138,256,1.0,7.74,32.4,6.0,0.5,0.0,0.0,,1.0,41.15,2.0,,0.0,yellow_taxi,1.25,
348,1,2023-01-01 00:07:19,2023-01-01 00:16:12,N,1.0,229,263,3.0,1.6,10.7,3.5,0.5,4.7,0.0,,1.0,20.4,1.0,,2.5,yellow_taxi,0.0,
396,1,2023-01-01 00:07:19,2023-01-01 00:45:31,N,1.0,249,223,2.0,7.8,37.3,3.5,0.5,8.45,0.0,,1.0,50.75,1.0,,2.5,yellow_taxi,0.0,
1220,2,2023-01-01 00:07:19,2023-01-01 00:10:39,N,1.0,229,137,1.0,1.17,6.5,1.0,0.5,1.5,0.0,,1.0,13.0,1.0,,2.5,yellow_taxi,0.0,
1833,2,2023-01-01 00:07:20,2023-01-01 00:16:59,N,1.0,148,170,5.0,2.15,12.1,1.0,0.5,4.28,0.0,,1.0,21.38,1.0,,2.5,yellow_taxi,0.0,
3253,2,2023-01-01 00:07:22,2023-01-01 00:16:30,N,1.0,236,142,1.0,1.83,11.4,1.0,0.5,2.0,0.0,,1.0,18.4,1.0,,2.5,yellow_taxi,0.0,
1289,2,2023-01-01 00:07:23,2023-01-01 00:20:05,N,1.0,170,87,2.0,4.61,21.9,1.0,0.5,8.07,0.0,,1.0,34.97,1.0,,2.5,yellow_taxi,0.0,
2826,2,2023-01-01 00:07:24,2023-01-01 00:12:48,N,1.0,79,170,4.0,1.07,7.2,1.0,0.5,1.22,0.0,,1.0,13.42,1.0,,2.5,yellow_taxi,0.0,
4059,2,2023-01-01 00:07:24,2023-01-01 00:23:12,N,1.0,239,263,1.0,3.38,19.1,1.0,0.5,4.82,0.0,,1.0,28.92,1.0,,2.5,yellow_taxi,0.0,
8211,2,2023-01-01 00:07:30,2023-01-01 00:14:28,N,1.0,141,142,1.0,1.54,9.3,1.0,0.5,2.86,0.0,,1.0,17.16,1.0,,2.5,yellow_taxi,0.0,
1694,2,2023-01-01 00:07:31,2023-01-01 00:14:57,N,1.0,239,236,1.0,1.17,10.0,1.0,0.5,4.5,0.0,,1.0,19.5,1.0,,2.5,yellow_taxi,0.0,
