,VendorID,PUDatetime,DODatetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,taxi_type,ehail_fee,trip_type,hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,trip_time,bcf,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,DayOfWeek,is_holiday
21289,,2023-04-01 00:00:01,2023-04-01 00:22:56,,7.99,,,41,234,,28.77,,2.55,0.0,0.0,,,2.75,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:55:59,2023-03-31 23:59:01,1375.0,0.86,23.43,N,N, ,N,N,5,False
3273,,2023-04-01 00:00:01,2023-04-01 00:04:12,,0.86,,,36,37,,7.98,,0.71,0.0,0.0,,,0.0,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:56:30,2023-03-31 23:58:24,251.0,0.24,6.03,N,N, ,N,N,5,False
5246,,2023-04-01 00:00:01,2023-04-01 00:22:26,,3.21,,,107,141,,18.89,,1.68,0.0,0.0,,,2.75,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:55:11,2023-03-31 23:58:29,1345.0,0.57,18.11,N,N, ,N,N,5,False
37077,,2023-04-01 00:00:01,2023-04-01 00:10:13,,2.0,,,102,258,,13.36,,1.19,0.0,0.0,,,0.0,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:55:43,2023-03-31 23:58:37,612.0,0.4,8.38,N,N, ,N,N,5,False
5925,,2023-04-01 00:00:01,2023-04-01 00:04:42,,1.23,,,28,130,,6.29,,0.56,0.0,0.0,,,0.0,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:57:41,2023-03-31 23:59:44,281.0,0.19,5.4,N,N, ,N,N,5,False
3020,,2023-04-01 00:00:02,2023-04-01 00:03:52,,0.63,,,65,33,,16.95,,1.5,0.0,0.0,,,0.0,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:54:40,2023-03-31 23:58:24,230.0,0.51,10.6,N,N, ,N,N,5,False
36342,,2023-04-01 00:00:02,2023-04-01 00:12:55,,3.23,,,148,37,,19.02,,1.69,0.0,0.0,,,2.75,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:50:45,2023-03-31 23:59:34,773.0,0.57,11.5,N,N, ,N,N,5,False
36327,,2023-04-01 00:00:02,2023-04-01 00:20:02,,3.546,,,80,189,,32.72,,2.9,0.0,0.0,,,0.0,0.0,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:55:01,,1200.0,0.98,19.64,N,N,N,N,N,5,False
25583,,2023-04-01 00:00:02,2023-04-01 00:44:36,,7.932,,,79,265,,52.71,,0.0,0.0,20.13,,,0.0,0.0,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:53:12,,2674.0,2.04,35.48,N,N,N,N,N,5,False
9340,,2023-04-01 00:00:02,2023-04-01 00:06:12,,0.77,,,79,148,,8.21,,0.73,0.0,0.0,,,2.75,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:56:51,2023-04-01 00:00:02,370.0,0.25,12.63,N,N, ,N,N,5,False
8951,,2023-04-01 00:00:02,2023-04-01 00:20:48,,6.167,,,255,261,,22.19,,1.99,0.0,0.18,,,2.75,0.0,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:57:14,,1246.0,0.67,19.78,N,N,N,N,N,5,False
29062,,2023-04-01 00:00:02,2023-04-01 00:18:24,,5.594,,,157,134,,17.62,,1.56,0.0,0.0,,,0.0,0.0,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:56:52,,1102.0,0.53,17.68,N,N,N,N,N,5,False
15815,,2023-04-01 00:00:02,2023-04-01 00:30:20,,5.48,,,142,179,,32.53,,2.89,8.0,0.0,,,2.75,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:55:17,2023-03-31 23:59:54,1818.0,0.98,29.46,N,N, ,N,N,5,False
3197624,2.0,2023-04-01 00:00:02,2023-04-01 00:18:48,,4.84,,,74,50,0.0,24.38,0.0,0.5,0.0,0.0,1.0,28.38,,,yellow_taxi,,,,,,,,,,,,,,,,5,False
32772,,2023-04-01 00:00:02,2023-04-01 00:17:46,,10.02,,,101,219,,29.03,,2.58,3.0,0.0,,,0.0,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:55:03,2023-03-31 23:58:40,1064.0,0.86,23.92,N,N, ,N,N,5,False
2338,2.0,2023-04-01 00:00:02,2023-04-01 00:20:41,1.0,3.43,1.0,N,229,249,1.0,20.5,1.0,0.5,5.1,0.0,1.0,30.6,2.5,0.0,yellow_taxi,,,,,,,,,,,,,,,,5,False
5598,,2023-04-01 00:00:02,2023-04-01 00:18:08,,4.84,,,88,189,,24.51,,2.18,0.0,0.0,,,2.75,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:58:03,2023-03-31 23:58:20,1086.0,0.74,21.24,N,N, ,N,N,5,False
1093,1.0,2023-04-01 00:00:02,2023-04-01 00:01:40,2.0,0.5,1.0,N,137,107,1.0,4.4,3.5,0.5,1.88,0.0,1.0,11.28,2.5,0.0,yellow_taxi,,,,,,,,,,,,,,,,5,False
19625,,2023-04-01 00:00:03,2023-04-01 00:17:12,,6.728,,,23,265,,26.27,,0.0,0.0,20.0,,,0.0,0.0,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:47:31,,1029.0,1.39,19.94,N,N,N,N,N,5,False
35858,,2023-04-01 00:00:03,2023-04-01 00:31:17,,5.197,,,106,198,,26.64,,2.37,5.96,0.0,,,0.0,0.0,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:55:54,,1874.0,0.8,24.4,N,N,N,N,N,5,False
364,,2023-04-01 00:00:03,2023-04-01 00:31:53,,5.86,,,143,87,,29.37,,2.61,0.0,0.0,,,2.75,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:56:35,2023-03-31 23:58:03,1910.0,0.88,28.05,N,N, ,N,N,5,False
24350,,2023-04-01 00:00:03,2023-04-01 00:25:20,,5.55,,,148,145,,70.17,,6.23,0.0,0.0,,,2.75,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:57:30,2023-03-31 23:59:09,1517.0,2.11,48.59,N,N, ,N,N,5,False
